manv,hoten,gioitinh,ngaysinh,luong,maph,sdt,ngaybc
HC169,Đặng Mỹ Chiến,Nam,1971-01-28,10143373,HCA,0193218547,2016-07-21
DV189,Ngô Phú Chiến,Nam,1984-07-07,14441223,DVK,0366542816,2021-03-05
HC170,Bùi Khánh Yến,Nữ,1988-05-22,6818592,HCA,0396552074,2010-09-23
KT195,Hà Vy Anh,Nữ,1985-09-21,10118818,KTA,0386909849,2019-05-03
DV190,Châu Phú Lâm,Nam,1976-11-18,11907422,DVK,0180221912,2013-10-10
QT169,Quách Phương Yến,Nữ,1998-06-30,6414813,QTA,0321804483,2018-04-30
KT196,Châu Dũng Trí,Nam,1971-12-10,13962025,KTA,0198827095,2014-09-07
DV191,Trần Uyên Linh,Nữ,1970-01-20,6269638,DVK,0368767795,2022-07-16
TC163,Mai Diệp My,Nữ,1983-10-05,9953619,TCA,0387931788,2010-10-28
QT170,Trịnh Hưng Việt,Nam,1996-08-08,12562245,QTA,0389026855,2022-07-21
PR157,Mạc Việt Vinh,Nam,1984-01-07,9736886,PRC,0365218684,2012-03-24
PR158,Châu Thị Thảo Thanh,Nữ,1999-12-31,8273188,PRC,0394882345,2014-03-19
KH167,La Thái Giang,Nam,1979-08-11,10743738,KHO,0329110894,2011-08-16
KH168,Thái Thị Linh Trang,Nữ,1997-09-26,8436915,KHO,0368871296,2011-05-12
DV192,Thái Danh Hùng,Nam,1999-09-13,10739460,DVK,0329075299,2010-08-30
TT168,Lương Vy Nhung,Nữ,1979-11-28,9944445,DVK,0162012539,2022-07-25
NS191,Võ Đại Hiếu,Nam,1982-10-30,10331837,NSU,0182104955,2019-04-18
QT171,Hồ Lâm Thiện,Nam,1992-09-13,7726032,QTA,0367306307,2010-08-21
QT172,Lương Phong Quang,Nam,1987-01-28,9401836,QTA,0322803434,2022-06-06
KD168,Cao Thị Chi Chi,Nữ,1971-02-28,13400360,KDA,0122322658,2023-09-24
TT169,Phạm Việt Kiên,Nam,1981-06-26,7805620,PRC,0362253361,2023-07-01
QT173,Hồ Anh Tài,Nam,1965-03-26,10433199,QTA,0369237619,2011-04-18
PR159,Đỗ Việt Hải,Nam,1976-06-03,13044594,PRC,0194369489,2015-05-21
KH169,Nguyễn Thị Trang Diệu,Nữ,1981-11-14,14685506,KHO,0398697078,2015-08-23
DV193,La Hồng Mai,Nữ,1989-09-25,11164797,DVK,0382834531,2016-08-09
HC171,Võ Ánh Linh,Nữ,1979-03-25,8856427,HCA,0362769753,2019-04-17
TT170,Thái Cường Lâm,Nam,1965-11-16,12825890,TCA,0381941967,2015-12-12
KH170,Bùi Long Mạnh,Nam,1997-08-13,7958845,KHO,0165472599,2018-08-14
TC164,Trịnh Thắng Quân,Nam,1987-08-03,14019368,TCA,0368154151,2011-10-25
KD169,Ngô Khôi Thiện,Nam,1993-12-12,6357658,KDA,0187962838,2012-04-30
TT171,Hồ My Tiên,Nữ,1988-02-21,11247429,KDA,0321232499,2017-02-04
TT172,Quách Phương Mai,Nữ,1978-12-26,6481047,QTA,0124638850,2015-03-23
TT173,Đỗ Thị Mai Thảo,Nữ,1969-01-31,8378761,TCA,0182336173,2021-08-22
MK171,Đặng Kim Liên,Nữ,1978-09-11,8205636,MKA,0196004221,2010-05-27
QT174,Cao Kim Phương,Nữ,1988-06-04,10962770,QTA,0122082303,2011-06-12
HC172,Vũ Thị Bích Quỳnh,Nữ,1989-04-17,14527110,HCA,0363391960,2011-06-22
QT175,Phan Ngọc Trang,Nữ,1981-01-31,7490250,QTA,0367103370,2011-12-22
TT174,Phạm Thị Hương Tiên,Nữ,1996-07-25,13996065,MKA,0198715696,2023-10-30
KD170,Tôn Sáng Hùng,Nam,1978-11-02,6348184,KDA,0161508505,2018-06-23
PR160,La Phúc Anh,Nam,1983-09-27,6566837,PRC,0398726149,2015-05-07
TC165,Bùi Long Quân,Nam,1968-11-01,12219719,TCA,0198863650,2019-09-23
KD171,Mạc Việt Việt,Nam,1989-04-30,13011252,KDA,0168403719,2011-07-29
MK172,Mạc Thị Uyên Uyên,Nữ,1994-08-02,9561309,MKA,0384386032,2019-01-04
DV194,Đặng Quốc Hùng,Nam,1966-08-09,8018227,DVK,0394973533,2017-11-24
TT175,Bùi Minh Tài,Nam,1992-01-31,10450101,PRC,0198645278,2022-08-01
KD172,Trịnh Vượng Xuân,Nam,1974-12-20,12812123,KDA,0391148000,2016-03-15
QT176,Mai Yến Hạnh,Nữ,1970-01-05,13434259,QTA,0362309123,2021-02-08
HC173,Tôn Hải Dũng,Nam,1981-04-13,11834323,HCA,0163927203,2018-05-05
KD173,Tạ Thế Phúc,Nam,1994-12-28,6181973,KDA,0399911063,2016-01-16
QT177,Hoàng Bích Yến,Nữ,1999-05-15,12176388,QTA,0195574890,2019-12-13
TT176,Đặng Danh Thịnh,Nam,1995-08-18,6437218,KDA,0327540053,2022-10-17
TC166,Lê Danh Nam,Nam,2000-02-23,7382133,TCA,0393020593,2020-07-22
TT177,Từ Vinh Vinh,Nam,1983-12-20,10536552,MKA,0399020503,2016-03-14
KT197,Đặng Thị Lan Linh,Nữ,1978-05-18,10102951,KTA,0397716401,2022-02-03
KD174,Kiều Mỹ Khang,Nam,1999-04-24,7449150,KDA,0398042594,2020-09-28
KH171,Trịnh Thu Linh,Nữ,1999-01-21,13823082,KHO,0187123484,2020-05-08
TT178,Phạm Lâm Hoàng,Nam,1991-10-10,11120004,MKA,0387145364,2012-01-21
KT198,Từ Thị Ánh Anh,Nữ,1997-10-12,14536088,KTA,0189298137,2014-01-15
HC174,Mạc Bình Thịnh,Nam,1997-01-14,9339021,HCA,0192891656,2020-07-17
TT179,Nguyễn Hương Nga,Nữ,1974-07-20,13343838,KTA,0396827808,2014-09-28
MK173,La Phương Quỳnh,Nữ,1986-04-13,13538566,MKA,0160815463,2015-07-20
PR161,Triệu Bình Phúc,Nam,1992-07-26,14533274,PRC,0360749561,2015-10-11
TT180,Trần Hương Liên,Nữ,1970-08-02,6736004,MKA,0361538613,2012-02-27
KH172,Mai Tâm Long,Nam,1970-05-20,14832342,KHO,0385131084,2014-06-03
KD175,Đặng Thọ Giang,Nam,1986-09-01,8473761,KDA,0192414112,2023-02-11
TT181,Hà Tuyết Trang,Nữ,1969-05-14,6499307,TCA,0385772494,2013-12-12
HC175,Trần Quang Chiến,Nam,2000-11-23,7886619,HCA,0383546509,2022-04-28
TT182,Mạc Danh Quang,Nam,1977-04-19,12325595,KDA,0168244990,2019-02-16
MK174,Châu Thị Mai Tiên,Nữ,2000-06-25,6757970,MKA,0190840477,2023-03-21
NS192,Lê Thị Anh Hiền,Nữ,1999-04-12,6790430,NSU,0120971707,2020-08-18
HC176,Triệu Diệu Yến,Nữ,2000-02-01,10807446,HCA,0122123229,2022-03-26
MK175,Vũ My Mai,Nữ,1973-10-25,6119428,MKA,0185871406,2010-12-10
TC167,Phan Phát Hoàng,Nam,1975-08-23,13238209,TCA,0361702216,2012-10-28
DV195,Lý Hiếu Quang,Nam,1998-06-06,9286097,DVK,0320428654,2017-09-18
KT199,Từ Thắng Thắng,Nam,1977-11-06,7784851,KTA,0163350904,2012-06-06
KH173,Bùi Linh Yến,Nữ,1991-06-05,6337893,KHO,0329925860,2014-07-12
TC168,Bùi Thị Mai Diễm,Nữ,1968-06-12,11536233,TCA,0195854467,2018-08-28
PR162,Kiều Thị Tú Quỳnh,Nữ,1968-05-16,10781649,PRC,0380555849,2018-01-04
QT178,Thái Thị Uyên Giang,Nữ,1978-08-22,8147682,QTA,0187540096,2012-01-02
NS193,Bùi Linh Phương,Nữ,1992-05-25,8788153,NSU,0395420994,2012-11-18
KH174,Châu Thị Nhung Trang,Nữ,1975-12-11,6456054,KHO,0123330740,2010-01-15
NS194,Quách Ngọc Bình,Nam,1967-01-05,11288399,NSU,0198049671,2022-05-26
QT179,Lý Dũng Quang,Nam,1998-02-26,11005375,QTA,0165421218,2014-03-21
NS195,Triệu Thị Lan Anh,Nữ,1982-05-27,11487036,NSU,0390280975,2022-07-13
HC177,Cao Mai Hiền,Nữ,1984-01-05,12382056,HCA,0123250927,2010-12-10
TC169,Mạc Hiển Duy,Nam,1977-02-17,13082302,TCA,0395112772,2023-03-26
TC170,Tôn Nhân Vinh,Nam,1991-11-15,14906945,TCA,0325992908,2014-12-19
PR163,Lê Uyên Hiền,Nữ,1969-04-01,11075991,PRC,0329223750,2017-06-13
TT183,Triệu Lâm Nam,Nam,1987-11-13,10373848,TCA,0181571547,2018-09-18
HC178,Đỗ Thị Quỳnh Thu,Nữ,1971-10-02,12991101,HCA,0321684018,2016-09-01
HC179,Đỗ Dũng Đức,Nam,1985-06-07,14052330,HCA,0322074774,2023-07-27
KT200,Phạm Ánh Bích,Nữ,1969-09-30,7865211,KTA,0397885868,2014-10-08
NS196,Mạc Hồng Chi,Nữ,1992-03-01,6812956,NSU,0398957907,2014-06-22
NS197,Từ Trung Việt,Nam,1998-06-09,9185405,NSU,0163238237,2022-08-25
KH175,Phan Thị Linh Vân,Nữ,1969-11-19,9410439,KHO,0326132943,2023-11-16
HC180,Vũ Thị Tú Hà,Nữ,1990-04-16,8124102,HCA,0364060516,2022-07-17
MK176,Thái Cảnh Minh,Nam,1981-12-31,10731502,MKA,0362634690,2019-05-17
KT201,Hoàng Lộc Toàn,Nam,1982-03-23,8119069,KTA,0368352713,2012-03-08
KT202,Tạ Thị Hạnh Quỳnh,Nữ,1990-07-04,13598420,KTA,0327358838,2017-07-03
QT180,Phạm Chính Hoàng,Nam,1978-01-03,10052187,QTA,0398277199,2018-06-20
TC171,Trần Tín Duy,Nam,1972-12-15,12475256,TCA,0196272364,2021-08-07
KH176,Mạc Thế Bảo,Nam,1985-03-02,14010387,KHO,0187276364,2011-12-17
DV196,Tạ Hiển Kiên,Nam,1970-09-06,14628530,DVK,0387673849,2021-01-11
TC172,Châu Khôi Mạnh,Nam,1989-07-31,10747955,TCA,0196508120,2018-08-13
DV197,Ngô Quang Khánh,Nam,1998-08-10,14645348,DVK,0186027841,2010-03-12
TT184,Thái Tiến Hiếu,Nam,1981-09-27,9938123,KTA,0164615438,2021-04-13
KD176,Quách Thanh Uyên,Nữ,1998-05-17,11118413,KDA,0366861801,2011-06-03
KD177,Hà Phương Dũng,Nam,1986-08-01,14399865,KDA,0361885407,2022-02-01
DV198,Kiều Long Chiến,Nam,1981-09-01,11963426,DVK,0385068689,2012-03-05
NS198,Từ Công Hưng,Nam,1971-04-26,8148609,NSU,0160141291,2010-04-16
KT203,Tôn Yến Ánh,Nữ,1982-04-09,10420558,KTA,0396705423,2015-09-20
KD178,Mai Thị Linh Tú,Nữ,1978-07-01,9361830,KDA,0165760155,2013-12-17
NS199,Hồ Thắng Anh,Nam,1972-04-09,9127481,NSU,0194184434,2011-10-22
DV199,Châu Kiên Đức,Nam,1984-05-16,10684958,DVK,0190351590,2014-09-01
MK177,Tạ Thị Hạnh,Nữ,1965-07-27,12277996,MKA,0193894282,2018-01-05
TC173,Châu Vy Hoa,Nữ,1976-10-20,14629077,TCA,0193968165,2011-04-01
TT185,Hà Châu Hạnh,Nữ,1975-05-25,13782773,MKA,0329515374,2023-05-02
MK178,Triệu Thành Mạnh,Nam,1989-08-20,8253188,MKA,0394443949,2020-11-06
QT181,Hoàng Bình Mạnh,Nam,1984-11-08,14297354,QTA,0123786410,2010-12-06
TC174,Châu Tùng Sơn,Nam,1990-09-25,9327287,TCA,0194546473,2020-02-25
QT182,Thái Bích Hoa,Nữ,1972-12-18,12328664,QTA,0184617130,2020-05-21
KH177,Tạ Thị Hương Quỳnh,Nữ,1984-09-22,12094956,KHO,0195742149,2020-07-13
QT183,Dương Thị Dung Anh,Nữ,1995-06-09,11633695,QTA,0385396803,2015-07-23
KD179,Kiều Nhật Long,Nam,1967-11-02,8947649,KDA,0394275129,2017-02-13
DV200,Võ Thị Thảo Huyền,Nữ,1984-06-28,8176931,DVK,0329164454,2021-05-08
KH178,Triệu Thị Ngọc Nhung,Nữ,1995-07-02,12033915,KHO,0382328752,2014-05-08
DV201,Hồ Sáng Hoàng,Nam,1968-10-23,7168494,DVK,0197224234,2022-03-08
TT186,Đặng Danh Duy,Nam,1976-02-12,13134876,DVK,0383973078,2022-12-03
TT187,Triệu Thị Ánh Hoa,Nữ,1967-12-10,9634982,DVK,0120967461,2014-07-18
KH179,Phạm Thị Anh Bích,Nữ,1989-01-04,10532896,KHO,0324834293,2018-11-09
MK179,Châu Thị Uyên Mai,Nữ,1991-01-29,8655767,MKA,0165018876,2019-06-19
MK180,Ngô Thị Anh Thu,Nữ,1985-12-03,12605092,MKA,0399429659,2013-03-05
TT188,Mạc Văn Hưng,Nam,1979-01-04,8978153,KHO,0125666137,2013-01-11
HC181,Bùi Thị Hoa Huyền,Nữ,1997-08-31,11009409,HCA,0121186826,2011-04-01
QT184,Triệu Mạnh Thắng,Nam,1978-04-17,8068000,QTA,0123263815,2022-07-17
TT189,Triệu Quang Chiến,Nam,1977-02-20,7728953,TCA,0364884008,2022-02-01
KD180,Phan Ngọc Linh,Nữ,1987-12-12,10166029,KDA,0397546684,2011-07-03
TT190,Đặng Danh Lâm,Nam,1969-03-30,7353719,KHO,0366694108,2013-03-05
KH180,Ngô Thị Bích Lan,Nữ,1986-08-31,6914619,KHO,0122093692,2012-02-16
PR164,Tôn Thị Nga Ngọc,Nữ,1976-02-05,13547516,PRC,0186906412,2020-01-15
DV202,Từ Hào Tuấn,Nam,1971-01-21,6754383,DVK,0163064164,2022-10-24
NS200,Mai Đại Minh,Nam,1980-05-15,6592408,NSU,0121268422,2021-03-24
TC175,Quách Thị Bích Ánh,Nữ,1983-08-22,6279646,TCA,0322619637,2019-03-28
NS201,Vũ Tài Trí,Nam,1967-03-23,11760502,NSU,0383208610,2012-10-25
NS202,Quách Tuyết Phương,Nữ,1990-12-05,11214909,NSU,0181841947,2017-04-25
KD181,Trần Tùng Phong,Nam,1987-06-25,12206180,KDA,0160517338,2017-12-16
PR165,Hoàng Thị Diễm Thu,Nữ,1982-02-05,13084669,PRC,0185345312,2021-04-14
PR166,Lê Quốc Tuấn,Nam,1978-08-19,11038816,PRC,0169139973,2019-04-10
HC182,Dương Sơn Trí,Nam,1980-05-31,7086845,HCA,0383619600,2011-04-05
MK181,Tôn Tấn Đạt,Nam,1967-09-26,9113833,MKA,0394639215,2016-04-04
NS203,Châu Tuấn Lâm,Nam,1974-01-22,7960447,NSU,0397750867,2012-04-18
KD182,Đặng Chính Toàn,Nam,1985-06-17,6387807,KDA,0122199846,2010-06-11
KD183,Vũ Mỹ Dũng,Nam,1967-05-16,8050684,KDA,0183360475,2022-04-19
PR167,Võ Tuyết Thảo,Nữ,1969-09-29,9142031,PRC,0127666013,2010-07-06
KH181,Trần Ngọc Trinh,Nữ,1986-09-15,14494868,KHO,0323923865,2010-02-08
TT191,Đỗ Danh Trung,Nam,1982-08-05,13333642,NSU,0363629684,2017-09-25
PR168,Tôn Vy Lan,Nữ,1994-10-16,9735454,PRC,0382667083,2011-10-29
KH182,Ngô Khang Đức,Nam,1997-05-30,7603961,KHO,0199308957,2019-08-24
DV203,Cao Thắng Hưng,Nam,1983-12-07,7055522,DVK,0160121363,2014-06-17
HC183,Thái Ánh Mỹ,Nữ,1972-05-17,8190633,HCA,0123283160,2012-12-08
KT204,Lương Kiên Anh,Nam,1998-03-17,7908443,KTA,0160643476,2012-09-12
NS204,Quách Anh Trung,Nam,1976-12-18,8073609,NSU,0398167042,2021-04-15
PR169,Hà Thị Bích Diễm,Nữ,2000-02-11,7820169,PRC,0366782015,2011-09-21
KT205,Phan Thị Linh Hiền,Nữ,1992-09-17,6641499,KTA,0121061836,2012-01-26
NS205,Tạ Thị Bích Tú,Nữ,1986-05-25,8524192,NSU,0194989800,2010-12-23
NS206,Tạ Hồng Hải,Nam,1982-05-03,11628392,NSU,0393518334,2011-03-14
KH183,Hồ Sơn Chiến,Nam,1971-11-29,7055919,KHO,0398520317,2018-03-21
HC184,Trần Diệp Hiền,Nữ,1999-04-10,11807116,HCA,0381476029,2011-07-15
QT185,Châu Nhi Hạnh,Nữ,1966-02-26,12670938,QTA,0199600478,2017-12-12
TT192,La Lan Ngọc,Nữ,1989-04-22,14439638,MKA,0321047042,2017-02-12
HC185,Đặng Thị Trang Thủy,Nữ,1987-10-24,7793116,HCA,0167490398,2012-08-02
TC176,Lê Thị Thu Huyền,Nữ,1994-03-31,9326845,TCA,0162780186,2015-07-21
KH184,Châu Thị Mai Nga,Nữ,1978-09-15,6493688,KHO,0384065778,2011-09-22
TC177,Tạ Hoàng Tài,Nam,1980-05-13,8984144,TCA,0186322558,2019-12-11
MK182,Lương Mạnh Cường,Nam,1971-11-27,6881092,MKA,0164137323,2012-02-25
KH185,Trần Bích Quỳnh,Nữ,1973-04-01,14226499,KHO,0181189719,2010-06-26
MK183,Châu Phát Đạt,Nam,1988-06-25,9114651,MKA,0192214123,2022-05-01
QT186,Võ Sáng Tài,Nam,1974-11-15,9325621,QTA,0328104595,2022-03-30
HC186,Đỗ Thị Phương Hạnh,Nữ,1987-04-16,13128704,HCA,0160254931,2011-04-15
DV204,Lê Kim Hà,Nữ,1996-06-13,9011283,DVK,0321938338,2018-12-18
QT187,Triệu Thị Hà Phương,Nữ,1979-01-19,14780521,QTA,0195014452,2023-02-22
PR170,Trịnh Viễn Thịnh,Nam,1994-03-10,9392729,PRC,0394712854,2017-08-27
NS207,Lý Thị Chi Thủy,Nữ,1981-10-12,8397394,NSU,0393709695,2015-09-12
MK184,Cao Xuân Quang,Nam,1976-06-07,8727524,MKA,0383941678,2018-06-16
NS208,Hà Thị Ngọc Hương,Nữ,1993-01-01,14159513,NSU,0387458260,2016-12-19
NS209,Tôn Hữu Bình,Nam,1984-12-10,9245477,NSU,0390764960,2018-12-20
HC187,Hà Thị Quỳnh Tiên,Nữ,1981-06-26,9515237,HCA,0163452611,2014-06-26
QT188,Hà Thị Thu Thảo,Nữ,1981-12-29,11498866,QTA,0198173528,2023-12-25
MK185,Lê Bích Tiên,Nữ,1974-04-11,13876364,MKA,0368902129,2011-09-25
TC178,Bùi Nghĩa Khang,Nam,1985-11-25,12053222,TCA,0163346933,2017-03-26
NS210,Trịnh Tuyết Dung,Nữ,1978-09-27,13129011,NSU,0322125573,2023-09-09
DV205,Tôn Thảo Quỳnh,Nữ,1998-06-02,9877616,DVK,0199794748,2014-10-04
KD184,Lương Linh Thảo,Nữ,1999-02-17,13280541,KDA,0391790430,2017-09-01
TC179,Hoàng Chính Long,Nam,1970-02-06,8276564,TCA,0394376380,2013-06-22
NS211,Vũ Thị Trang Hương,Nữ,1997-05-23,11839385,NSU,0368293789,2015-07-26
KT206,Triệu Thị Hiền Thanh,Nữ,1967-02-15,10961243,KTA,0129324748,2021-09-30
DV206,Đỗ Nhi Diễm,Nữ,1997-11-28,9227308,DVK,0160201419,2019-05-19
KD185,Hoàng Thị Anh Dung,Nữ,1972-04-26,8650027,KDA,0198692956,2020-11-22
PR171,Mai Thị Chi Huyền,Nữ,1975-10-27,11428153,PRC,0324490916,2023-11-26
KH186,Cao Thu Lan,Nữ,1986-05-29,9241927,KHO,0385093040,2015-12-02
TT193,Võ Thị Kim,Nữ,1980-07-19,8412772,QTA,0393302363,2010-05-19
KT207,Tạ Vượng Khánh,Nam,1970-04-24,10869131,KTA,0326372595,2011-08-22
PR172,Kiều Thịnh Mạnh,Nam,1981-08-19,6092355,PRC,0385903666,2020-02-28
TT194,Vũ Diệu Phương,Nữ,1989-06-11,13132375,KTA,0396439234,2016-09-29
DV207,Hoàng Thu Ánh,Nữ,1980-09-23,10197527,DVK,0192364888,2020-01-19
TC180,Hà Khôi Hùng,Nam,1967-04-15,7597664,TCA,0383775756,2023-06-16
NS212,Đặng Thị Hà Quỳnh,Nữ,1990-11-17,10210474,NSU,0164204506,2022-06-08
TC181,Đặng Thị Lan Trinh,Nữ,1988-11-03,10649903,TCA,0365986054,2023-04-26
QT189,Đỗ Đại Cường,Nam,1993-11-15,9177670,QTA,0383855567,2012-02-20
QT190,Thái Đình Nam,Nam,1990-08-28,8857170,QTA,0162980128,2013-12-15
KD186,Vũ Thị Thu Trinh,Nữ,1978-05-21,13286222,KDA,0362994503,2017-03-30
HC188,Phan Vượng Dũng,Nam,1998-02-08,10889882,HCA,0368612604,2014-07-08
QT191,Phạm Thị Trang Chi,Nữ,1997-03-18,10245456,QTA,0322327200,2017-05-03
PR173,Hồ Minh Bình,Nam,1978-02-13,14263857,PRC,0195803559,2014-03-05
HC189,Hồ My Anh,Nữ,1977-11-04,14364485,HCA,0367102234,2016-06-06
QT192,Mạc Thị Vân,Nữ,1986-11-09,13254165,QTA,0388735271,2019-03-06
KH187,Mai Sơn Phúc,Nam,1999-02-28,6141433,KHO,0163572640,2023-07-15
MK186,Lý Kim My,Nữ,1985-10-04,8923145,MKA,0121060309,2019-11-11
TC182,Lý Thị Phương Tú,Nữ,1989-03-15,14700643,TCA,0126382161,2015-04-09
DV208,Tạ Thị Hạnh Hoa,Nữ,1967-08-18,7476724,DVK,0120263822,2012-05-10
PR174,Kiều Lan Nhung,Nữ,1969-03-07,13617604,PRC,0396070377,2022-03-20
MK187,Võ Thị Mai Ngân,Nữ,1996-12-11,14618529,MKA,0322191643,2011-09-19
HC190,Vũ Phú Minh,Nam,1975-11-08,8009971,HCA,0164627220,2012-09-20
HC191,Trần Nghĩa Đức,Nam,1974-10-08,6160848,HCA,0360059318,2018-04-17
TT195,Lê Quang Thắng,Nam,1973-09-28,8912734,TCA,0194998799,2022-11-08
KD187,Tạ Hương Loan,Nữ,1980-11-05,13362577,KDA,0184500969,2023-08-31
KT208,Ngô Phong Tùng,Nam,1998-11-14,8698373,KTA,0389397228,2011-07-01
NS213,Triệu Khánh Loan,Nữ,1978-11-03,6203619,NSU,0184123458,2015-11-16
PR175,Mạc Thị Ngân,Nữ,1972-03-21,14971591,PRC,0182540669,2018-07-25
DV209,Kiều Thanh Trí,Nam,1967-07-19,8560006,DVK,0325258343,2014-12-19
TT196,Tôn Thế Minh,Nam,1969-02-08,10632633,TCA,0397679504,2010-03-19
TC183,Phạm Thảo Tú,Nữ,1992-12-04,14812914,TCA,0191074091,2012-10-29
KD188,Hoàng Thị Nhung Uyên,Nữ,1999-11-18,12585481,KDA,0161268295,2010-05-03
TT197,Hồ Hoàng Hùng,Nam,1999-08-21,11381180,MKA,0325979035,2018-06-27
NS214,Quách Thành Anh,Nam,1985-06-23,7313661,NSU,0181811521,2013-04-27
QT193,Cao Thu Thanh,Nữ,1974-09-13,13972686,QTA,0364470923,2016-02-25
KT209,Bùi Quỳnh Thanh,Nữ,1979-05-25,6877037,KTA,0387398705,2012-04-18
KH188,Trần Yến Thu,Nữ,1993-05-05,6628658,KHO,0181986414,2010-06-21
TC184,Trần Thị Quỳnh Liên,Nữ,1972-05-11,9787976,TCA,0127233791,2022-06-25
KD189,Đỗ Hồng Thanh,Nữ,1983-07-13,8204682,KDA,0169960325,2010-12-11
TT198,Bùi Đình Long,Nam,1999-04-30,8899095,HCA,0196874129,2021-01-10
TT199,Ngô Châu Giang,Nữ,2000-01-19,6418218,DVK,0391029449,2011-06-09
TC185,Đỗ Uyên Vân,Nữ,1984-12-27,7686177,TCA,0388446591,2023-01-13
NS215,Lê Thị Hương Thảo,Nữ,1983-02-22,12459860,NSU,0192680956,2012-05-15
QT194,Cao Thị Linh Ngọc,Nữ,2000-09-10,13510860,QTA,0128761637,2020-02-28
KD190,Mai Viễn Trí,Nam,1984-01-03,9480503,KDA,0180332983,2017-09-23
DV210,Phan Thái Bảo,Nam,1980-05-22,13635103,DVK,0198204158,2020-11-15
NS216,Phạm Ánh Tiên,Nữ,1981-01-22,10191028,NSU,0180999517,2020-12-01
DV211,Hà Lương Quân,Nam,1993-10-11,11165999,DVK,0165305489,2013-10-14
QT195,Hà Thị Hoa Yến,Nữ,1968-06-20,7729379,QTA,0193475809,2014-11-27
KH189,Triệu Trúc Thảo,Nữ,1966-04-01,14386482,KHO,0186099456,2018-08-03
TT200,Vũ Đình Phong,Nam,1979-04-25,8418611,PRC,0323120511,2022-05-20
KH190,Bùi Mạnh Phúc,Nam,1966-11-25,10525975,KHO,0384571916,2015-04-27
HC192,Tôn Văn Phúc,Nam,1994-10-16,8682500,HCA,0186737742,2020-12-07
TC186,Đỗ Diệp Huyền,Nữ,1982-11-06,7780290,TCA,0166645144,2015-02-25
KH191,Hà Mai Diệu,Nữ,1976-12-28,9908517,KHO,0165050462,2022-01-11
QT196,Hồ Tùng Tùng,Nam,1989-07-30,13072605,QTA,0182934732,2021-10-04
HC193,Đặng Thị Uyên Ánh,Nữ,1988-04-04,9018687,HCA,0323039636,2010-07-31
HC194,Hà Mai Thu,Nữ,1981-03-26,11903062,HCA,0380398455,2018-11-07
KH192,Thái Thị Anh Bích,Nữ,1989-02-24,7703530,KHO,0195506785,2019-05-18
DV212,Vũ Kim Trinh,Nữ,1981-10-15,6276196,DVK,0362748614,2012-04-07
NS217,Lê Thị Hương Giang,Nữ,1974-07-11,9832584,NSU,0194646199,2010-01-16
KT210,Phạm Thị Mỹ,Nữ,1970-02-15,13081629,KTA,0385366895,2015-10-20
PR176,Lý Hưng Tuấn,Nam,1980-11-08,9596804,PRC,0197544007,2020-06-28
TT201,Hồ Thắng Kiên,Nam,1994-01-12,9879396,NSU,0127752269,2018-09-09
KT211,La Thị Lan Hương,Nữ,1982-09-22,11200026,KTA,0124243265,2020-07-05
TC187,La Thảo Tiên,Nữ,1978-10-30,8579214,TCA,0182530691,2022-09-22
NS218,Mạc Thị Lan Anh,Nữ,1979-10-14,14893880,NSU,0129499435,2022-07-28
HC195,Bùi Thị Chi Vân,Nữ,1992-06-12,9757853,HCA,0390815743,2021-02-01
QT197,Mai Thị Mai Phương,Nữ,1971-06-02,9835525,QTA,0169207325,2023-01-30
TC188,Trần Tài Nam,Nam,1974-07-10,14223842,TCA,0365955502,2016-12-29
NS219,Ngô Phương Hải,Nam,1970-08-31,7198759,NSU,0380778857,2018-11-14
MK188,Đặng Việt Long,Nam,1983-03-01,9232783,MKA,0367403504,2014-04-05
KD191,Triệu Minh Xuân,Nam,1980-09-14,8546644,KDA,0193785195,2021-04-07
TT202,Mạc Xuân Dũng,Nam,1982-10-28,14315627,KTA,0396566266,2023-04-29
NS220,Đặng Mai Bích,Nữ,1969-10-24,11810123,NSU,0194994290,2011-03-30
KT212,Phạm Gia Phúc,Nam,1993-09-09,7703002,KTA,0327197073,2023-08-15
TC189,Phạm Quốc Đạt,Nam,1968-07-28,8485246,TCA,0191792999,2016-07-18
QT198,Phan Hưng Việt,Nam,1990-03-27,14744272,QTA,0185822068,2010-06-15
KH193,Trịnh Thị Thảo Hoa,Nữ,1994-04-04,9558996,KHO,0125916365,2017-10-17
DV213,Mai Thị Diễm Hà,Nữ,1980-04-01,8439436,DVK,0397677937,2014-09-14
QT199,Mạc Mỹ Tùng,Nam,1971-08-09,11887809,QTA,0368662646,2013-11-08
TT203,Từ Hoàng Phúc,Nam,1985-01-27,13557909,HCA,0197693836,2022-09-27
PR177,Thái Châu Oanh,Nữ,1999-08-22,11761755,PRC,0362089761,2023-04-17
KH194,Cao Tuấn Kiên,Nam,1996-08-12,11053329,KHO,0192170826,2021-07-19
TC190,Thái Thiện Khang,Nam,1977-04-05,11318348,TCA,0387396981,2018-03-28
PR178,Lê Hương Loan,Nữ,2000-12-14,13783010,PRC,0160319914,2011-04-19
NS221,Thái Sáng Chiến,Nam,1965-04-24,10163563,NSU,0182099481,2015-11-10
KD192,Trịnh Nhi Ngân,Nữ,1993-05-03,14642550,KDA,0326584372,2012-09-09
NS222,Mạc Nhật Minh,Nam,1983-03-02,14757796,NSU,0182584360,2022-08-01
